count,experimenter,videoclip_ID,Age,AgeBin,Gender,Condition,NearMissChar,JustInChar,ConditionOrder,HappyFirst,Num_Attempts,Pins_Check,GrayArea_Check,Tim_pins,TimRating,Sam_pins,SamRating,Tim_OR_Sam,explanation,1_emotion_prediction,1_pins_actual,1_BW,1_BWrating,2_emotion_prediction,2_pins_actual,2_BW,2_BWrating,2_Why,2_BeliefRecall,FC_ExperimenterQuestion,FC,FC_why,Said_Both,HighExpectationInitVerbal,HighExpectationInit,HighExpectationBW,HighExpectationRating,HighExpectationRelative,LowExpectationInitVerbal,LowExpectationInit,LowExpectationBW,LowExpectationRating,LowExpectationRelative,FC_Correct,MovedCharacter,Char_InitEmotion_Correct,Experimenter_Error,Pilot
39,andrew,Bowling3_150805_01,5.26,5,0,3,Sally,Annie,NearMiss_First,1,3,1,1,1,0,1,1,1,Sam knocked down all the pins,happy,1,0,4.5,sad,1,1,6,,,Sally_Annie,NA,both are happy,1,happy,6,0,4.5,-1.5,sad,3,1,6,3,0,1,1,1,0
40,mika,Bowling3_150817_01,5.4,5,1,4,Sally,Annie,JustIn_First,0,5,1,1,NA,0,1,1,1,he knocked down six balls,sad,1,1,6,happy,1,0,3,,,Annie_Sally,Sally,She hit more balls than her,0,happy,6,0,3,-3,sad,3,1,6,3,0,1,1,1,0
41,mika,Bowling3_150817_02,5.05,5,1,4,Sally,Annie,JustIn_First,1,4,1,1,1,0,1,1,1,he knocked down all of the pins,sad,1,1,6,happy,1,1,7,,,Sally_Annie,Annie,She knocked down some pins,0,happy,6,1,7,1,sad,3,1,6,3,1,1,1,1,0
42,mika,Bowling3_150819_01,5.27,5,0,1,Annie,Sally,NearMiss_First,0,7,1,1,1,0,1,1,1,he knocked all the bowlings,happy,1,1,8,sad,1,1,5,,,Annie_Sally,Sally,I forgot why,0,happy,6,1,8,2,sad,3,1,5,2,1,1,1,1,0
43,mika,Bowling3_151019_01,5.98,5,0,4,Sally,Annie,JustIn_First,1,na,1,1,1,0,1,1,1,he won and the other guy didn't,happy,1,1,8,sad,1,1,6,,,Sally_Annie,Annie,because it almost went to the out place but it didn't,1,sad,3,1,6,3,happy,6,1,8,2,1,1,1,1,0
44,mika,Bowling3_151019_02,5.98,5,1,3,Sally,Annie,NearMiss_First,1,na,1,1,1,0,1,1,1,NA,sad,1,1,4.5,happy,1,0,5,,,Annie_Sally,Sally,because she is more close,1,sad,3,1,4.5,1.5,happy,6,0,5,-1,0,1,1,1,0
45,mika,Bowling3_151027_01,5.66,5,1,3,Sally,Annie,NearMiss_First,1,na,1,1,1,0,1,1,1,Because he knocked them down,happy,1,1,4.5,sad,1,1,4.5,,,Sally_Annie,Annie,She knocked them down,0,happy,6,1,4.5,-1.5,sad,3,1,4.5,1.5,1,1,1,1,0
46,mika,Bowling3_151030_01,5.31,5,1,1,Annie,Sally,NearMiss_First,1,na,1,1,1,0,1,1,1,NA,happy,1,1,6,sad,1,1,7,,,Annie_Sally,Sally,NA,0,happy,6,1,6,0,sad,3,1,7,4,1,0,1,1,0
47,mika,Bowling3_160122_03,4.03,4,0,1,Annie,Sally,NearMiss_First,0,8,1,1,1,0,1,1,1,because he knocked all of them down,happy,1,0,3,sad,1,0,4,,,Annie_Sally,Sally,she got all of them down,0,happy,6,0,3,-3,sad,3,0,4,1,1,1,1,1,0
48,mika,Bowling3_160122_05,4.41,4,1,3,Sally,Annie,NearMiss_First,0,3,1,1,1,0,1,1,1,because he knocked down all of them,happy,1,1,4.5,sad,1,1,7.5,,,Sally_Annie,Annie,they both knocked down 3,1,happy,6,1,4.5,-1.5,sad,3,1,7.5,4.5,1,1,1,1,0
